,N,xm,nr,ni,p1,p2,p3,taus_out,taua_out
17,9,0.832,1.3,0.023,11.962073176651831,-2.173318236955123,-0.6182075344959195,0.025795321380251136,0.03351957667008397
18,8,0.64,2.0,0.09,3.934955950047554,0.0041403512283016,-0.0249340060500509,0.07372608445861487,0.06508905794862589
19,8,0.64,1.3,0.09,3.7417009565103054,-0.0266182471107581,-0.0378502396003421,0.009165218728383136,0.08430309374581445
20,8,0.73,1.68,0.023,3.491223511552275,-0.0568565759752539,-0.0557952557295428,0.0662369848369446,0.023237858344115455
21,8,0.96,2.0,0.006,2.159769534814207,-0.4002703531157582,-0.2008889120187547,0.39128560905169424,0.009895888252785577
22,8,0.64,1.8,0.09,4.408151309288529,-0.0335903216532323,-0.0532885554425296,0.051576329437533895,0.07057568696423801
23,7,0.64,1.3,0.09,2.008271430535596,-0.0014353420066667,-0.009418676427386,0.008018575868546849,0.0737560960831847
24,10,0.43,2.0,0.023,4.236493889011678,-0.3836533483833326,-0.2260957000104377,0.017531408410227888,0.011430935181459136
25,8,0.43,1.8,0.023,0.8625561125873202,-0.0025056327740119,-0.0054047916903552,0.010098177861010457,0.010456378339123206
26,8,0.96,2.0,0.3,33.98653312121643,-0.8199919401528732,-0.7166849443008517,0.366201634253424,0.42661250193620365
27,8,0.58,1.46,0.078,2.75698482435117,-0.0151083173165053,-0.0252368022964856,0.013309586661944178,0.061786065381720025
28,8,0.96,1.71,0.045,10.774677708917949,-0.1445014627279606,-0.2181678585836919,0.20520074387664486,0.06958274404864154
29,10,0.43,1.3,0.023,3.8088051857493017,-0.3593825500711147,-0.2029329021462945,0.002249661855212556,0.01722202037929171
30,8,0.64,1.68,0.09,4.399234834807904,-0.0301663548197295,-0.0490421790979388,0.039231863670835546,0.0740915032887148
31,7,0.43,1.98,0.09,0.3683845486422873,0.0014537560317274,0.0036091437394105,0.012063260390985986,0.03182368055411013
32,9,0.43,1.68,0.023,3.2017404978797206,-0.0625482826596168,-0.1126750462347062,0.008728039224350602,0.01264265356972472
33,8,0.58,1.45,0.023,1.4287163596667498,-0.0115548780282245,-0.0131288170585436,0.012537845654100668,0.018419010161521178
34,7,0.64,2.0,0.004,0.9419140764895128,-0.000435266140542,-0.0049989687137438,0.06474426663744634,0.002559199732840692
35,8,0.64,1.45,0.09,3.2587962701589697,-0.0263043248910559,-0.0356239048033152,0.018957755636632448,0.08068576962840619
36,6,0.48,1.68,0.023,0.3586692402739528,-0.0001212420961369,-0.0010400781894232,0.009054841163215272,0.009645941288386972
37,8,0.336,2.0,0.023,0.4629349027393724,-0.0003978161428647,-0.0020257217085504,0.0051380583266884645,0.006709029329793636
38,8,0.336,1.8,0.023,0.4753791718707608,-0.0006682687104175,-0.0019599062833239,0.003707298015412482,0.0077345823091656005
39,8,0.52,1.76,0.035,1.3420326822226722,0.0138026004731648,0.0207346395264557,0.020217602504458105,0.020917678664928132
40,6,0.448,1.71,0.045,0.3839478519355901,-0.000153794950063,-0.0008647869681412,0.007363481195598986,0.01696504013101014
41,8,0.64,1.71,0.045,3.03741590828678,-0.0283316620514169,-0.0366109523199483,0.042011859857971935,0.036854641844857795
