,N,xm,nr,ni,p1,p2,p3
180,10,0.5,2.02,0.019,9.145846280088112,-2.110412629087241,-0.5096655716390859
181,9,0.4,1.93,0.017,1.0506937673410799,-0.01954414615906977,-0.014673001760904459
182,9,0.5,2.05,0.036,10.253611188146412,-0.11970498420776013,-0.18712018713238307
183,9,0.4,2.05,0.032,3.422393878960787,-0.016721710103953607,-0.06968845246641908
184,10,0.7,1.41,0.021,9.349733244823158,-0.7331117584668821,-0.7863021510197554
185,10,0.7,1.31,0.094,9.092631747758482,-2.5196502574086526,-0.25365879011731535
186,10,0.5,1.84,0.081,7.995220542462446,-0.35261599739655597,-0.23184351877375853
187,9,0.4,1.67,0.032,5.4562936957833825,-0.23559768771561518,-0.18725516569841147
188,10,0.7,1.69,0.006,2.2317655887856267,-0.05562967516869858,-0.050065760745206835
189,10,0.7,1.3,0.021,4.973345528367678,-0.09876349149358335,-0.32218144844142055
190,9,0.7,1.65,0.072,2.170878342853522,-0.03472180458914101,-0.07226872801032402
191,9,0.7,2.0,0.03,28.452606626817094,-1.9093674081431882,-0.6082461528181343
192,10,0.7,1.3,0.014,2.5244512246667457,-0.032790804463411434,-0.026578623889014143
193,10,0.6,1.34,0.023,4.514357982785463,-0.373479100272693,-0.3508681178121026
194,9,0.7,1.72,0.089,8.316011080263802,-0.6045118617440444,-0.28798475196247675
195,10,0.6,1.36,0.028,5.768250959992918,-2.3831965738138434,-0.2783722970476945
196,9,0.4,1.93,0.086,2.7376077997774937,-0.025377686016468642,-0.0431432867116997
197,10,0.7,1.33,0.026,1.9231784813467927,-0.04955970375130858,-0.09866280520992021
198,10,0.6,1.3,0.045,8.025655241549607,-0.5172770679790939,-0.3568084382398768
199,10,0.7,1.35,0.017,1.366042558406795,-0.034475026145537345,-0.020428152976576637
